CustomerID,FirstName,LastName,Gender,Age,Email,Phone,City,Country,Occupation,AnnualIncome,MembershipType,CustomerStatus,PreferredPaymentMethod,TotalOrders,TotalSpent,JoinDate,LastPurchaseDate
CUST00046,Emily,West,Male,20,carlagalvan@gmail.com,009.688.2226x4340,South Jennifermouth,United States of America,Commercial/residential surveyor,143272,Gold,Pending,Bank Transfer,82,8027.62,2022-06-05,2024-05-27
CUST00047,Dennis,Bowman,Male,67,jamie64@hotmail.com,(648)024-8185x5466,South Edwardville,Gibraltar,Air cabin crew,52916,Gold,Active,Cash,92,18093.57,2026-01-29,2027-11-14
CUST00048,Justin,Diaz,Male,40,seananderson@fisher.org,001-903-246-4489,Liside,Chile,Medical physicist,115765,Gold,Inactive,Cash,52,9960.15,2023-12-27,2026-05-22
CUST00049,Michelle,Marshall,Female,27,ryanjasmine@dixon.com,+1-191-226-9245x87935,Jasonfort,Argentina,"Journalist, broadcasting",139104,Gold,Inactive,Card,75,4535.38,2024-12-25,2027-01-20
CUST00050,John,Blake,Male,26,bgaines@hampton.com,218-110-0194,Bruceborough,Mauritius,"Presenter, broadcasting",118902,Gold,Active,Bank Transfer,72,17900.33,2021-08-20,2023-08-10
CUST00051,Brian,Fisher,Male,66,fergusondiana@vasquez.net,4221299828,Weaverstad,Gambia,Social worker,28344,Silver,Inactive,Cash,6,6986.12,2025-03-22,2027-03-16
CUST00052,Brian,Graham,Female,67,christopher06@yahoo.com,+1-656-296-2848,West Kevin,Lao People's Democratic Republic,Operations geologist,43060,Silver,Inactive,Card,27,9665.62,2026-02-15,2028-01-02
CUST00053,Kimberly,Thompson,Female,21,brandtwilliam@tyler.info,+1-899-211-7672x33843,Palmerhaven,Lebanon,Set designer,57185,Platinum,Pending,Mobile Banking,27,4844.22,2023-09-30,2025-03-13
CUST00054,Jerry,Farmer,Male,51,meghanrivera@gmail.com,944.801.8612x586,Marychester,Syrian Arab Republic,Health service manager,142987,Gold,Active,Mobile Banking,75,13015.04,2025-09-12,2027-04-03
CUST00055,Ashley,Sexton,Male,27,peter91@marsh-hart.net,001-538-226-5760x29722,East William,Mali,"Engineer, drilling",121087,Silver,Inactive,Mobile Banking,36,5565.53,2025-04-20,2025-07-27
CUST00056,Robert,Castillo,Male,50,xbennett@hotmail.com,040-719-1971x9621,Dawnview,Kazakhstan,Lawyer,28101,Platinum,Inactive,Cash,91,8811.91,2024-01-17,2024-10-16
CUST00057,Teresa,Burgess,Male,22,vrojas@king.org,(983)049-1393x70796,Ryanberg,Nauru,Video editor,101552,Platinum,Active,Bank Transfer,25,15400.29,2025-09-02,2027-05-04
CUST00058,Jodi,Foster,Female,20,ohowe@warner.info,929.622.9558,East Jostad,Gabon,Veterinary surgeon,87024,Gold,Pending,Cash,9,686.2,2023-03-19,2024-09-25
CUST00059,Kylie,Watkins,Male,29,patricia64@white-bishop.com,(793)845-9370x788,Lindsaystad,Pitcairn Islands,"Clinical scientist, histocompatibility and immunogenetics",113372,Silver,Active,Card,94,2880.27,2023-04-14,2025-02-21
CUST00060,Anne,Tyler,Male,61,terrysherri@gmail.com,(295)108-3052x100,Lake Sarahtown,Switzerland,Clinical research associate,99927,Gold,Pending,Bank Transfer,67,7369.37,2022-08-05,2025-03-12
CUST00061,David,Brennan,Male,69,usloan@hotmail.com,(847)864-1767,Stevensborough,Mali,"Education officer, environmental",145308,Gold,Inactive,Bank Transfer,68,17122.86,2022-06-16,2022-07-26
CUST00062,Tiffany,Clark,Male,24,sellerserik@harmon.com,001-967-616-6073x066,Lake Michaelport,Antigua and Barbuda,Podiatrist,129883,Silver,Pending,Card,31,18127.95,2023-04-06,2025-04-10
CUST00063,Michelle,Mora,Male,50,stephanielee@yahoo.com,(975)977-8930x054,Johnsonbury,Benin,"Loss adjuster, chartered",91894,Silver,Inactive,Mobile Banking,17,16202.48,2022-10-18,2025-01-31
CUST00064,Jennifer,Campbell,Male,38,jamie53@morris.net,409.018.0386,Copelandfort,Iran,"Editor, film/video",139223,Platinum,Active,Bank Transfer,69,11367.12,2022-09-17,2024-03-19
CUST00065,Mark,Little,Male,50,anthony12@mcguire.biz,(593)187-5727x58477,Shawmouth,Burundi,"Geneticist, molecular",21607,Gold,Pending,Bank Transfer,30,9261.71,2025-04-22,2027-09-18
CUST00066,Erika,Smith,Female,52,andersonkatherine@hotmail.com,473.596.9546x04378,Garzabury,Georgia,Public affairs consultant,131761,Silver,Inactive,Cash,15,19544.33,2022-08-26,2024-11-18
CUST00067,Cynthia,Paul,Male,50,vlee@atkinson.com,001-783-513-5756x5741,Courtneychester,China,Race relations officer,146131,Silver,Inactive,Bank Transfer,79,3304.62,2021-11-29,2023-09-22
CUST00068,Sarah,Walker,Female,40,lindasmith@mccarty.biz,768.236.9041,Lake Michaelburgh,Korea,"Engineer, drilling",129623,Gold,Active,Card,71,1031.16,2023-09-05,2025-12-13
CUST00069,Barbara,Palmer,Male,38,jamesmartin@lewis-brown.com,(051)719-8950,Atkinsonborough,Fiji,"Nurse, children's",75558,Gold,Inactive,Cash,49,11268.81,2023-05-24,2025-09-11
CUST00070,Madison,Morrison,Female,65,mariosalazar@johnston.com,033-989-5482,East Aaronfort,Tuvalu,"Administrator, Civil Service",95596,Gold,Pending,Mobile Banking,82,12606.35,2025-04-06,2025-10-12
CUST00071,Joseph,Ferguson,Male,56,jenna99@phillips.com,053-979-7486x942,Christopherstad,Syrian Arab Republic,English as a second language teacher,146349,Platinum,Inactive,Card,49,3715.75,2023-02-13,2024-12-13
CUST00072,Ashley,Evans,Male,42,fharris@gmail.com,(052)043-3716x172,North Andrew,Grenada,Curator,139622,Platinum,Active,Mobile Banking,59,5660.07,2024-09-09,2026-11-28
CUST00073,William,Miller,Male,36,xryan@johnson.com,219-373-4693,Teresahaven,Morocco,Claims inspector/assessor,143242,Platinum,Pending,Card,75,4697.15,2021-11-05,2023-11-30
CUST00074,Elizabeth,Bailey,Female,41,patriciasims@williams.com,9903771526,Port Patrickton,Estonia,Insurance account manager,139329,Silver,Pending,Bank Transfer,62,4673.49,2022-03-17,2024-02-19
CUST00075,Gregory,Morrow,Female,51,hsilva@hotmail.com,679.165.0005,South Kelly,Martinique,Claims inspector/assessor,134678,Platinum,Active,Bank Transfer,56,14643.18,2021-08-04,2022-01-10
CUST00076,David,Gordon,Female,35,williamschristopher@hotmail.com,3402826143,South Angel,Djibouti,Information systems manager,143935,Platinum,Pending,Bank Transfer,23,5422.63,2022-12-16,2024-08-23
CUST00077,Edward,Evans,Male,67,charlesmartinez@gonzalez.net,+1-043-163-4610x98601,Jesuschester,Vietnam,Market researcher,103892,Platinum,Pending,Bank Transfer,52,1952.22,2023-03-22,2024-07-26
CUST00078,Austin,Bradford,Female,48,kenneth03@yahoo.com,(386)034-2908x374,Mckenzieport,Iraq,Printmaker,57697,Platinum,Inactive,Card,75,13932.24,2023-12-30,2024-04-05
CUST00079,Joshua,Jefferson,Male,63,zbernard@yahoo.com,745.832.2533,North Albert,Gabon,"Lecturer, higher education",130531,Gold,Pending,Bank Transfer,12,2995.29,2022-01-04,2024-03-23
CUST00080,Daniel,Matthews,Female,50,hannahyang@hotmail.com,844.823.4366x83123,West Stephanieburgh,Italy,Podiatrist,142297,Gold,Pending,Mobile Banking,12,330.15,2025-02-07,2026-12-21
CUST00081,Katherine,Solomon,Male,62,jramirez@tran.org,001-541-265-4062,Wisechester,Czech Republic,Materials engineer,136119,Silver,Pending,Bank Transfer,39,3531.61,2025-08-25,2026-01-18
CUST00082,Mark,Daniels,Female,52,joel33@hotmail.com,2457446962,New Marcusmouth,Dominica,Higher education careers adviser,128140,Gold,Inactive,Mobile Banking,84,18001.39,2024-11-15,2025-01-08
CUST00083,Kevin,Cunningham,Male,37,donald50@snow.info,494-533-9300x10064,Stephanieport,Trinidad and Tobago,Nature conservation officer,33306,Silver,Active,Mobile Banking,16,5388.66,2022-10-29,2024-11-16
CUST00084,Angela,Reyes,Female,36,aliciaclark@perez.net,117-161-8688,North Peter,Netherlands Antilles,Lobbyist,34994,Platinum,Active,Bank Transfer,80,8511.22,2023-12-10,2024-07-06
CUST00085,Miguel,Sanchez,Female,24,ylee@yahoo.com,+1-038-473-4264,Patriciaside,Aruba,"Engineer, biomedical",34538,Gold,Inactive,Cash,78,5993.18,2023-09-11,2026-03-11
CUST00086,Joseph,Woodard,Female,36,catherinegonzalez@martinez.info,270-004-6721,East Mary,Tokelau,Fashion designer,48035,Silver,Pending,Card,60,17336.85,2021-06-28,2022-05-21
CUST00087,Natalie,Carroll,Male,49,robert34@hotmail.com,001-156-774-4155x114,East Bethland,British Virgin Islands,Civil Service administrator,128989,Platinum,Pending,Bank Transfer,18,1332.19,2026-03-13,2027-01-12
CUST00088,Lynn,Henderson,Female,52,martha37@morales.com,840.789.4151x52271,Port Melody,Kuwait,Electronics engineer,118106,Platinum,Pending,Mobile Banking,17,19467.79,2022-06-02,2022-11-26
CUST00089,Randy,Taylor,Female,24,hpowell@patterson.info,413.689.6584x8612,Garciaton,Faroe Islands,Broadcast presenter,43032,Platinum,Pending,Cash,99,2949.81,2021-09-15,2022-11-25
CUST00090,Deborah,Todd,Male,23,amanda57@hotmail.com,+1-276-023-1375x963,Harrellland,Bouvet Island (Bouvetoya),"Therapist, art",36589,Platinum,Pending,Bank Transfer,6,780.09,2023-05-08,2024-08-11
CUST00091,Scott,Stein,Female,67,dwaynehamilton@gmail.com,+1-674-875-5639x421,Norrisfurt,Papua New Guinea,Interpreter,74609,Platinum,Pending,Mobile Banking,79,19091.12,2023-05-20,2025-10-04
CUST00092,Jennifer,Knox,Female,18,wblackwell@hotmail.com,001-399-915-1090x4029,Lake Kathryn,United Arab Emirates,Trading standards officer,69007,Platinum,Pending,Cash,100,6490.69,2025-01-17,2025-05-29
CUST00093,James,Martin,Female,50,annetteturner@hotmail.com,358-961-6961,Harveychester,French Polynesia,Horticultural therapist,117245,Silver,Inactive,Cash,63,18862.04,2024-09-25,2025-11-10
CUST00094,Lori,Armstrong,Male,28,atkinsoncharles@rodriguez.net,001-748-529-8615x1050,Mayfort,Romania,Public house manager,139352,Gold,Pending,Cash,93,7693.03,2023-05-07,2024-05-15
CUST00095,Robert,Williams,Female,51,parkraymond@schmidt-thompson.com,851-765-5124x086,New Troyton,United Kingdom,Chief Executive Officer,31103,Platinum,Pending,Card,26,17234.87,2024-05-28,2024-06-05
CUST00096,Bradley,Ayala,Female,70,halljenny@yahoo.com,+1-754-729-3549x2168,Ericland,Korea,Clinical research associate,135284,Silver,Inactive,Cash,21,2314.02,2023-01-26,2025-07-26
CUST00097,Molly,Ortiz,Male,42,denniscombs@peterson-harrison.com,(246)246-6529,Manningland,Micronesia,"Scientist, forensic",68623,Platinum,Active,Cash,73,4913.79,2025-02-08,2027-03-04
CUST00098,Alexandra,Dixon,Male,36,willisjay@yahoo.com,(028)377-1776x32787,Wallerstad,Slovakia (Slovak Republic),Geographical information systems officer,57165,Gold,Inactive,Mobile Banking,24,14726.91,2025-02-02,2027-08-07
CUST00099,Brittany,Pineda,Male,62,zowen@torres.com,001-475-612-0946x4433,Gatesfurt,Serbia,Chief Executive Officer,131617,Platinum,Active,Mobile Banking,2,13887.52,2023-10-11,2026-01-29
CUST00100,Nancy,Banks,Female,62,powelltracey@morrison-johnson.com,+1-396-567-4294x18486,New Crystalfurt,Guinea,Forensic psychologist,119166,Platinum,Active,Mobile Banking,60,14336.09,2024-04-22,2026-02-23
CUST00101,Megan,Sims,Male,27,samuelchavez@yahoo.com,513-174-5775,Moralesfort,Slovenia,Armed forces training and education officer,46322,Platinum,Active,Mobile Banking,82,7181.97,2023-12-07,2024-06-16
CUST00102,Jacob,Garcia,Male,52,william29@walker.biz,456-077-1103x00555,North Brandonbury,Indonesia,Company secretary,99076,Gold,Active,Cash,64,11518.87,2023-10-06,2024-10-28
CUST00103,Jennifer,Black,Female,34,hillmatthew@hotmail.com,341.698.3377x812,Port Dustin,Senegal,Publishing copy,133992,Platinum,Inactive,Bank Transfer,68,5839.04,2021-08-08,2023-08-05
CUST00104,Donald,Hicks,Male,28,ctaylor@gmail.com,001-260-971-8019x8483,Smithside,Anguilla,Oncologist,146415,Gold,Active,Bank Transfer,61,6783.89,2023-01-06,2024-04-29
CUST00105,Maria,Bowman,Female,23,leepamela@hotmail.com,(236)254-3352,South Melindahaven,Belize,Manufacturing systems engineer,102185,Gold,Pending,Mobile Banking,13,1892.32,2022-08-13,2024-08-29
CUST00106,Sophia,Cabrera,Male,57,alexisrodriguez@cline.com,138.522.3793x36994,Turnermouth,Malta,Primary school teacher,54434,Gold,Pending,Cash,24,11075.67,2024-06-05,2025-04-01
CUST00107,Kevin,West,Female,69,melissa87@malone-johnson.com,(872)561-2892x96814,Biancaside,Switzerland,Music therapist,22993,Gold,Inactive,Cash,26,19805.34,2023-08-27,2026-04-09
CUST00108,Robert,Day,Male,31,evangonzales@fernandez.com,457-921-8534x29820,Bethanymouth,Kyrgyz Republic,"Therapist, nutritional",81739,Gold,Inactive,Mobile Banking,85,12802.38,2021-10-29,2024-05-24
CUST00109,Justin,Alvarez,Female,22,danielbyrd@gmail.com,(544)899-3560,Daltontown,Argentina,Civil Service fast streamer,137221,Silver,Inactive,Mobile Banking,31,17606.51,2022-03-26,2024-10-16
CUST00110,Jason,Dixon,Female,54,oyang@gmail.com,(763)344-1281x63297,Thomasshire,Angola,"Doctor, hospital",37360,Silver,Inactive,Bank Transfer,35,11018.83,2023-06-06,2024-05-23
CUST00111,Kyle,Davis,Female,56,wjenkins@morgan.com,+1-835-639-0501,Lake Juan,Holy See (Vatican City State),Sports therapist,142622,Platinum,Pending,Bank Transfer,30,2826.17,2021-12-20,2022-12-29
CUST00112,Pamela,Stanley,Female,25,jpace@briggs-edwards.org,681-146-0553x280,Wyattfort,Seychelles,Immunologist,149869,Platinum,Inactive,Card,24,1178.34,2025-02-18,2027-11-09
CUST00113,Isabel,Garcia,Female,65,fsmith@casey.com,513.637.1456x34954,South John,Finland,Product manager,67277,Platinum,Active,Cash,67,15785.26,2022-05-06,2023-10-20
CUST00114,Jennifer,Ellis,Female,35,nconley@norris.info,690.728.3780,Jamesview,Poland,"Programmer, multimedia",96266,Silver,Active,Cash,96,7723.77,2025-01-17,2025-04-14
CUST00115,Paul,Brooks,Male,34,coreymccormick@allen.com,(190)584-5138x7999,Patriciaburgh,Nauru,"Accountant, chartered",112574,Platinum,Active,Mobile Banking,35,11658.22,2025-12-09,2026-01-26
CUST00116,Alex,Mcknight,Male,61,dsalazar@gmail.com,(918)571-6691,Lake Regina,Tanzania,Data processing manager,144420,Gold,Inactive,Card,96,4996.72,2021-10-29,2022-10-08
CUST00117,Cody,Sullivan,Male,46,trevinochristopher@greene.biz,001-080-443-7374,Port James,French Southern Territories,Police officer,96756,Gold,Pending,Mobile Banking,46,13083.9,2023-01-08,2023-01-10
CUST00118,Michael,Jordan,Female,63,jason77@hotmail.com,027.616.1001x72542,Michelleview,Anguilla,Chartered certified accountant,70280,Platinum,Pending,Cash,68,16099.4,2025-07-12,2025-07-29
CUST00119,Erica,Zavala,Male,39,hdavis@hotmail.com,+1-280-272-9474x20705,Moonbury,Ecuador,Actor,101631,Silver,Active,Cash,57,14067.93,2024-01-15,2025-08-23
CUST00120,Lindsay,Cruz,Male,33,ramirezmike@davidson.com,(693)241-3671x651,Bowmanport,Western Sahara,Civil Service fast streamer,56836,Platinum,Inactive,Card,40,7426.58,2025-03-02,2026-02-18
CUST00121,Andrew,Thompson,Female,35,edwardwalker@miller.info,(178)994-0195x6993,Port Danielle,Slovakia (Slovak Republic),Government social research officer,136799,Gold,Active,Cash,80,19171.21,2021-08-26,2022-09-08
CUST00122,Carol,Branch,Male,34,qalexander@perkins.com,382-740-5561x4907,New Ryan,Japan,Commercial/residential surveyor,52776,Gold,Inactive,Card,100,11963.08,2024-04-03,2026-08-15
CUST00123,Jennifer,Johnson,Male,38,thenry@webb-thompson.com,+1-741-438-4952x75838,Lake Christopherburgh,French Southern Territories,Print production planner,111671,Platinum,Active,Cash,30,19298.85,2025-02-08,2026-07-17
CUST00124,Jacqueline,Davis,Female,20,andrea03@gmail.com,001-684-886-5399x516,North Carol,Greece,Stage manager,123825,Platinum,Pending,Card,16,14021.33,2023-10-28,2023-12-07
CUST00125,Tammy,Dalton,Female,33,jconley@hotmail.com,+1-387-001-4400,West Heather,Saint Vincent and the Grenadines,Management consultant,144798,Platinum,Pending,Cash,79,15377.13,2025-04-23,2027-02-09
CUST00126,Holly,Wright,Male,60,humphreylinda@gmail.com,+1-034-839-1364x57600,North Abigailchester,Gambia,Technical author,144240,Silver,Inactive,Cash,93,5977.45,2021-12-20,2022-02-12
CUST00127,Mark,Garza,Female,28,ihenry@gmail.com,0971303130,East Morganborough,Central African Republic,Colour technologist,140247,Gold,Active,Bank Transfer,80,11235.44,2021-06-22,2021-06-30
CUST00128,Gerald,Sanford,Female,49,kyledelacruz@gmail.com,267-317-5606,Port Charleshaven,Slovakia (Slovak Republic),Neurosurgeon,68263,Silver,Inactive,Card,79,3931.26,2022-11-11,2024-02-05
CUST00129,Jeffrey,Cunningham,Male,19,rowesteven@garrison-chang.com,(833)899-7061x0575,Mahoneyport,Macao,Fast food restaurant manager,26721,Gold,Inactive,Mobile Banking,28,17918.05,2023-06-15,2024-08-06
CUST00130,Joseph,Santiago,Male,48,yrodriguez@gmail.com,806-304-0160x718,Hortonhaven,Trinidad and Tobago,Translator,30867,Gold,Pending,Bank Transfer,47,12603.46,2026-03-14,2026-12-02
CUST00131,Eric,Wilson,Male,34,joneslisa@alexander.com,598-729-7625x39054,Ronaldside,Cook Islands,"Engineer, electronics",94228,Platinum,Pending,Bank Transfer,43,437.66,2024-02-16,2025-09-30
CUST00132,Destiny,Powers,Female,38,antonionorris@yahoo.com,001-881-458-8917x8036,West Ryanton,Christmas Island,Energy engineer,70926,Platinum,Pending,Mobile Banking,45,15584.42,2021-06-22,2022-09-19
CUST00133,Michael,Phillips,Female,18,monicamartinez@gmail.com,339.273.5855x25713,New Crystal,Denmark,Research scientist (maths),59298,Platinum,Active,Mobile Banking,62,1250.35,2024-06-29,2025-12-13
